Training started at 12-17_19-25-00

12-17_19-25-02: New best reward 19.0 (-100.0%) at episode 0, saving model...
12-17_19-25-02: New best reward 22.0 (+15.8%) at episode 2, saving model...
12-17_19-25-02: New best reward 32.0 (+45.5%) at episode 5, saving model...
12-17_19-25-02: New best reward 44.0 (+37.5%) at episode 9, saving model...
12-17_19-25-02: New best reward 50.0 (+13.6%) at episode 10, saving model...
12-17_19-25-02: New best reward 60.0 (+20.0%) at episode 44, saving model...
12-17_19-25-02: New best reward 68.0 (+13.3%) at episode 145, saving model...
12-17_19-25-03: New best reward 109.0 (+60.3%) at episode 499, saving model...
12-17_19-25-11: New best reward 135.0 (+23.9%) at episode 3979, saving model...
12-17_19-25-18: New best reward 141.0 (+4.4%) at episode 5555, saving model...
12-17_19-25-31: New best reward 145.0 (+2.8%) at episode 8925, saving model...
12-17_19-25-32: New best reward 153.0 (+5.5%) at episode 8954, saving model...
12-17_19-25-34: New best reward 168.0 (+9.8%) at episode 9509, saving model...
12-17_19-25-37: New best reward 200.0 (+19.0%) at episode 10027, saving model...
12-17_19-25-44: New best reward 215.0 (+7.5%) at episode 11261, saving model...
12-17_19-25-51: New best reward 258.0 (+20.0%) at episode 12427, saving model...
12-17_19-26-09: New best reward 378.0 (+46.5%) at episode 16211, saving model...
12-17_19-26-09: New best reward 401.0 (+6.1%) at episode 16255, saving model...
12-17_19-26-11: New best reward 431.0 (+7.5%) at episode 16366, saving model...
12-17_19-26-14: New best reward 1039.0 (+141.1%) at episode 16624, saving model...
12-17_19-26-17: New best reward 1494.0 (+43.8%) at episode 16791, saving model...
12-17_19-34-00: New best reward 2224.0 (+48.9%) at episode 41791, saving model...
12-17_19-35-07: New best reward 100000.0 (+4396.4%) at episode 43170, saving model...
