Training started at 12-17_22-22-53

12-17_22-22-54: New best reward -3.9 (-100.0%) at episode 0, saving model...
12-17_22-22-55: New best reward -0.3 (-92.3%) at episode 48, saving model...
12-17_22-22-55: New best reward 2.1 (-800.0%) at episode 103, saving model...
12-17_22-22-55: New best reward 2.7 (+28.6%) at episode 126, saving model...
12-17_22-22-55: New best reward 3.9 (+44.4%) at episode 134, saving model...
12-17_22-22-56: New best reward 4.0 (+2.6%) at episode 221, saving model...
12-17_22-22-56: New best reward 4.3 (+7.5%) at episode 225, saving model...
12-17_22-22-56: New best reward 6.2 (+44.2%) at episode 239, saving model...
12-17_22-22-56: New best reward 6.7 (+8.1%) at episode 240, saving model...
12-17_22-22-56: New best reward 8.4 (+25.4%) at episode 301, saving model...
12-17_22-22-59: New best reward 8.8 (+4.8%) at episode 830, saving model...
12-17_22-23-06: New best reward 9.1 (+3.4%) at episode 2147, saving model...
12-17_22-23-07: New best reward 9.3 (+2.2%) at episode 2312, saving model...
12-17_22-23-09: New best reward 12.9 (+38.7%) at episode 2686, saving model...
12-17_22-23-10: New best reward 13.9 (+7.8%) at episode 2797, saving model...
12-17_22-23-11: New best reward 15.1 (+8.6%) at episode 2943, saving model...
12-17_22-23-12: New best reward 15.2 (+0.7%) at episode 3084, saving model...
12-17_22-23-12: New best reward 17.9 (+17.8%) at episode 3094, saving model...
12-17_22-23-14: New best reward 19.0 (+6.1%) at episode 3299, saving model...
12-17_22-23-17: New best reward 20.7 (+8.9%) at episode 3821, saving model...
12-17_22-23-39: New best reward 23.1 (+11.6%) at episode 6952, saving model...
12-17_22-23-42: New best reward 27.0 (+16.9%) at episode 7285, saving model...
12-17_22-23-49: New best reward 31.9 (+18.1%) at episode 8090, saving model...
12-17_22-24-39: New best reward 36.4 (+14.1%) at episode 13075, saving model...
12-17_22-25-33: New best reward 37.0 (+1.6%) at episode 20057, saving model...
12-17_22-25-37: New best reward 59.9 (+61.9%) at episode 20513, saving model...
12-17_22-29-57: New best reward 62.4 (+4.2%) at episode 51277, saving model...
12-17_22-33-18: New best reward 64.7 (+3.7%) at episode 72849, saving model...
12-17_22-34-23: New best reward 97.4 (+50.5%) at episode 79494, saving model...
12-17_22-57-43: New best reward 127.8 (+31.2%) at episode 196863, saving model...
12-17_23-36-33: New best reward 138.9 (+8.7%) at episode 346620, saving model...
